Line ID,Game ID,Player Name,Normalized Name,Team,Market,Line,League,Sportsbook,Game Date,Start Time,Grade,Line Change Value,Line Change Timestamp
prizepicks_3303860,2024-11-10_carolina-hurricanes_colorado-avalanche,Casey Mittelstadt,casey mittelstadt,colorado avalanche,shots on goal,1.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,1.5,2024-11-09T09:22:26.360Z
prizepicks_3303859,2024-11-10_columbus-blue-jackets_los-angeles-kings,Anze Kopitar,anze kopitar,los angeles kings,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T08:57:26.503Z
prizepicks_3303858,2024-11-10_columbus-blue-jackets_los-angeles-kings,Zach Werenski,zach werenski,columbus blue jackets,assists,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T08:57:26.503Z
prizepicks_3303856,2024-11-10_columbus-blue-jackets_los-angeles-kings,Kirill Marchenko,kirill marchenko,columbus blue jackets,points,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T08:54:26.381Z
prizepicks_3303855,2024-11-10_columbus-blue-jackets_los-angeles-kings,Yegor Chinakhov,yegor chinakhov,columbus blue jackets,points,0.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,0.5,2024-11-09T08:54:26.381Z
prizepicks_3303854,2024-11-10_columbus-blue-jackets_los-angeles-kings,Adrian Kempe,adrian kempe,los angeles kings,shots on goal,3.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,3.5,2024-11-09T08:54:26.381Z
prizepicks_3303166,2024-11-10_carolina-hurricanes_colorado-avalanche,Nathan MacKinnon,nathan mackinnon,colorado avalanche,faceoffs won,8.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,8.5,2024-11-09T04:12:26.417Z
prizepicks_3303165,2024-11-10_carolina-hurricanes_colorado-avalanche,Jordan Staal,jordan staal,carolina hurricanes,faceoffs won,9.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,9.5,2024-11-09T04:12:26.417Z
prizepicks_3303164,2024-11-10_columbus-blue-jackets_los-angeles-kings,Anze Kopitar,anze kopitar,los angeles kings,faceoffs won,10.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,10.0,2024-11-09T04:12:26.417Z
prizepicks_3303163,2024-11-10_columbus-blue-jackets_los-angeles-kings,Sean Monahan,sean monahan,columbus blue jackets,faceoffs won,10.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,10.0,2024-11-09T04:12:26.417Z
prizepicks_3303135,2024-11-10_carolina-hurricanes_colorado-avalanche,Cale Makar,cale makar,colorado avalanche,time on ice,24.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,24.5,2024-11-09T03:57:26.373Z
prizepicks_3303134,2024-11-10_carolina-hurricanes_colorado-avalanche,Nathan MacKinnon,nathan mackinnon,colorado avalanche,time on ice,23.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,23.25,2024-11-09T03:57:26.373Z
prizepicks_3303134,2024-11-10_carolina-hurricanes_colorado-avalanche,Nathan MacKinnon,nathan mackinnon,colorado avalanche,time on ice,23.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,23.5,2024-11-09T04:07:26.413Z
prizepicks_3303133,2024-11-10_carolina-hurricanes_colorado-avalanche,Jaccob Slavin,jaccob slavin,carolina hurricanes,time on ice,22.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,22.0,2024-11-09T03:57:26.373Z
prizepicks_3303132,2024-11-10_carolina-hurricanes_colorado-avalanche,Sebastian Aho,sebastian aho,carolina hurricanes,time on ice,19.25,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,19.5,2024-11-09T03:57:26.373Z
prizepicks_3303132,2024-11-10_carolina-hurricanes_colorado-avalanche,Sebastian Aho,sebastian aho,carolina hurricanes,time on ice,19.25,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,19.25,2024-11-09T04:07:26.413Z
prizepicks_3303131,2024-11-10_columbus-blue-jackets_los-angeles-kings,Vladislav Gavrikov,vladislav gavrikov,los angeles kings,time on ice,23.25,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,23.25,2024-11-09T03:57:26.373Z
prizepicks_3303130,2024-11-10_columbus-blue-jackets_los-angeles-kings,Anze Kopitar,anze kopitar,los angeles kings,time on ice,18.5,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,18.5,2024-11-09T03:57:26.373Z
prizepicks_3303129,2024-11-10_columbus-blue-jackets_los-angeles-kings,Zach Werenski,zach werenski,columbus blue jackets,time on ice,25.0,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,25.0,2024-11-09T03:57:26.373Z
prizepicks_3303128,2024-11-10_columbus-blue-jackets_los-angeles-kings,Sean Monahan,sean monahan,columbus blue jackets,time on ice,18.75,NHL,PrizePicks,2024-11-10,2024-11-10T02:00:00.000Z,not-started,18.75,2024-11-09T03:57:26.373Z
