Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410240BOS,BOS,DAL,13.0,David PastrÅÃ¡k,1,0,1,0.0,4,1,0,0,0.0,0.0,0.0,0.0,7,14.3,24.0,19:49,pastrda01
202410240BOS,BOS,DAL,14.0,Andrew Peeke,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,20.0,16:29,peekean01
202410240BOS,BOS,DAL,15.0,Matthew Poitras,0,1,1,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,16.0,13:33,poitrma01
202410240BOS,BOS,DAL,16.0,Parker Wotherspoon,0,0,0,-1.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,22.0,17:56,wothepa01
202410240BOS,BOS,DAL,17.0,Pavel Zacha,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,24.0,19:27,zachapa01
202410240BOS,BOS,DAL,18.0,Nikita Zadorov,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,27.0,19:08,zadorni01
202410240BOS,BOS,DAL,19.0,Jeremy Swayman,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,4.0,58:06,swaymje01
202410240BOS,BOS,DAL,,TOTAL,2,3,5,,10,1,1,0,,,,,27,7.4,,,
202410240TOR,TOR,STL,1.0,Philip Broberg,1,0,1,2.0,0,1,0,0,0.0,0.0,0.0,0.0,1,100.0,25.0,21:17,brobeph01
202410240TOR,TOR,STL,2.0,Pavel Buchnevich,0,2,2,3.0,0,0,0,0,0.0,2.0,0.0,0.0,1,0.0,19.0,15:18,buchnpa01
202410240TOR,TOR,STL,3.0,Radek Faksa,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,18.0,13:17,faksara01
202410240TOR,TOR,STL,4.0,Justin Faulk,0,1,1,3.0,2,0,0,0,0.0,1.0,0.0,0.0,1,0.0,26.0,22:06,faulkju01
202410240TOR,TOR,STL,5.0,Dylan Holloway,2,0,2,0.0,0,1,1,0,1.0,0.0,0.0,0.0,4,50.0,22.0,17:20,hollody01
202410240TOR,TOR,STL,6.0,Mathieu Joseph,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,20.0,14:03,josepma01
202410240TOR,TOR,STL,7.0,Pierre-Olivier Joseph,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,16.0,11:31,joseppi01
202410240TOR,TOR,STL,8.0,Kasperi Kapanen,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,14.0,8:57,kapanka01
202410240TOR,TOR,STL,9.0,Jordan Kyrou,0,2,2,2.0,0,0,0,0,0.0,2.0,0.0,0.0,1,0.0,19.0,15:51,kyroujo01
202410240TOR,TOR,STL,10.0,Jake Neighbours,1,0,1,2.0,4,1,0,0,0.0,0.0,0.0,0.0,3,33.3,20.0,15:29,neighja01
202410240TOR,TOR,STL,11.0,Colton Parayko,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,28.0,26:58,parayco01
202410240TOR,TOR,STL,12.0,Scott Perunovich,0,0,0,-1.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,16.0,11:00,perunsc01
202410240TOR,TOR,STL,13.0,Brandon Saad,0,1,1,1.0,0,0,0,0,0.0,0.0,1.0,0.0,2,0.0,20.0,13:53,saadbr01
202410240TOR,TOR,STL,14.0,Brayden Schenn,0,1,1,1.0,0,0,0,0,0.0,1.0,0.0,0.0,3,0.0,25.0,15:52,schenbr01
202410240TOR,TOR,STL,15.0,Oskar Sundqvist,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,21.0,11:49,sundqos01
202410240TOR,TOR,STL,16.0,Ryan Suter,0,0,0,2.0,2,0,0,0,0.0,0.0,0.0,0.0,1,0.0,29.0,25:40,suterry01
202410240TOR,TOR,STL,17.0,Alexandre Texier,1,0,1,2.0,0,1,0,0,0.0,0.0,0.0,0.0,4,25.0,19.0,15:55,texieal01
202410240TOR,TOR,STL,18.0,Alexey Toropchenko,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,18.0,13:44,toropal01
202410240TOR,TOR,STL,19.0,Jordan Binnington,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,3.0,60:00,binnijo01
202410240TOR,TOR,STL,,TOTAL,5,7,12,,10,4,1,0,,,,,27,18.5,,,
202410240TOR,TOR,STL,1.0,Simon Benoit,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,24.0,15:27,benoisi01
202410240TOR,TOR,STL,2.0,Max Domi,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,3,0.0,21.0,17:16,domima01
202410240TOR,TOR,STL,3.0,Oliver Ekman-Larsson,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,0.0,3,33.3,28.0,22:41,ekmanol01
202410240TOR,TOR,STL,4.0,Pontus Holmberg,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,16.0,11:38,holmbpo01
202410240TOR,TOR,STL,5.0,David KÃ¤mpf,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,16.0,11:41,kampfda01
202410240TOR,TOR,STL,6.0,Matthew Knies,0,0,0,-3.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,14:22,kniesma01
202410240TOR,TOR,STL,7.0,Steven Lorentz,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,12:13,lorenst01
202410240TOR,TOR,STL,8.0,Mitch Marner,0,0,0,-3.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,22.0,19:46,marnemi01
202410240TOR,TOR,STL,9.0,Auston Matthews,0,0,0,-3.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,23.0,20:20,matthau01
202410240TOR,TOR,STL,10.0,Jake McCabe,0,0,0,-2.0,2,0,0,0,0.0,0.0,0.0,0.0,2,0.0,28.0,18:43,mccabja01
202410240TOR,TOR,STL,11.0,Bobby McMann,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,18.0,15:04,mcmanbo02
202410240TOR,TOR,STL,12.0,William Nylander,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,25.0,18:55,nylanwi01
202410240TOR,TOR,STL,13.0,Ryan Reaves,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,14.0,9:46,reavery01
202410240TOR,TOR,STL,14.0,Morgan Rielly,0,1,1,-1.0,0,0,0,0,0.0,1.0,0.0,0.0,3,0.0,32.0,21:57,riellmo01
202410240TOR,TOR,STL,15.0,Nicholas Robertson,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,23.0,17:07,roberni01
202410240TOR,TOR,STL,16.0,Chris Tanev,0,0,0,-3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,27.0,18:23,tanevch01
202410240TOR,TOR,STL,17.0,John Tavares,0,1,1,0.0,0,0,0,0,0.0,1.0,0.0,0.0,7,0.0,19.0,16:37,tavarjo01
202410240TOR,TOR,STL,18.0,Conor Timmins,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,24.0,15:14,timmico01
202410240TOR,TOR,STL,19.0,Joseph Woll,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,5.0,58:48,wolljo01
202410240TOR,TOR,STL,,TOTAL,1,2,3,,6,1,0,0,,,,,41,2.4,,,
202410240DET,DET,NJD,1.0,Nathan Bastian,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,16.0,10:56,bastina01
202410240DET,DET,NJD,2.0,Jesper Bratt,0,1,1,-1.0,0,0,0,0,0.0,0.0,1.0,0.0,2,0.0,25.0,19:51,brattje01
202410240DET,DET,NJD,3.0,Paul Cotter,0,0,0,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,16.0,11:38,cottepa01
202410240DET,DET,NJD,4.0,Brenden Dillon,0,0,0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0,,19.0,16:31,dillobr01
202410240DET,DET,NJD,5.0,Dougie Hamilton,0,1,1,-1.0,0,0,0,0,0.0,0.0,1.0,0.0,6,0.0,24.0,24:28,hamildo01
