Player,PlayerID,Team,TeamID,Position
Robby Fabbri,fabbrro01,Anaheim Ducks,ANA,F
Brock Faber,faberbr01,Minnesota Wild,MIN,D
Radek Faksa,faksara01,St. Louis Blues,STL,F
Adam Fantilli,fantiad01,Columbus Blue Jackets,CBJ,F
Joel Farabee,farabjo01,Philadelphia Flyers,PHI,F
Hudson Fasching,faschhu01,New York Islanders,NYI,F
Jesper Fast,fastje01,Carolina Hurricanes,CAR,F
Justin Faulk,faulkju01,St. Louis Blues,STL,D
Ivan Fedotov,fedotiv01,Philadelphia Flyers,PHI,G
Martin Fehervary,feherma01,Washington Capitals,WSH,D
Mario Ferraro,ferrama01,San Jose Sharks,SJS,D
Kevin Fiala,fialake01,Los Angeles Kings,LAK,F
Christian Fischer,fischch01,Detroit Red Wings,DET,F
Trey Fix-Wolansky,fixwotr01,Columbus Blue Jackets,CBJ,F
Cale Fleury,fleurca01,Seattle Kraken,SEA,D
Haydn Fleury,fleurha01,Winnipeg Jets,WPG,D
Marc-Andre Fleury,fleurma01,Minnesota Wild,MIN,G
Warren Foegele,foegewa01,Los Angeles Kings,LAK,F
Tyson Foerster,foersty01,Philadelphia Flyers,PHI,F
Marcus Foligno,foligma01,Minnesota Wild,MIN,F
Nick Foligno,foligni01,Chicago Blackhawks,CHI,F
Nolan Foote,footeno01,New Jersey Devils,NJD,F
Derek Forbort,forbode01,Vancouver Canucks,VAN,D
Anton Forsberg,forsban01,Ottawa Senators,OTT,G
Filip Forsberg,forsbfi01,Nashville Predators,NSH,F
Gustav Forsling,forslgu02,Florida Panthers,FLA,D
Jean-Luc Foudy,foudyje01,Colorado Avalanche,COL,F
Liam Foudy,foudyli01,New York Islanders,NYI,F
Cam Fowler,fowleca01,Anaheim Ducks,ANA,D
Adam Fox,foxad01,New York Rangers,NYR,D
Trent Frederic,fredetr01,Boston Bruins,BOS,F
Byron Froese,froesby01,Vegas Golden Knights,VEG,F
Morgan Frost,frostmo01,Philadelphia Flyers,PHI,F
Jonah Gadjovich,gadjojo01,Florida Panthers,FLA,F
Brendan Gallagher,gallabr01,Montreal Canadiens,MTL,F
Rhett Gardner,gardnrh01,Philadelphia Flyers,PHI,F
Conor Garland,garlaco01,Vancouver Canucks,VAN,F
Adam Gaudette,gaudead01,Ottawa Senators,OTT,F
Frederick Gaudreau,gaudrfr01,Minnesota Wild,MIN,F
Johnny Gaudreau,gaudrjo01,Columbus Blue Jackets,CBJ,F
Brendan Gaunce,gauncbr01,Columbus Blue Jackets,CBJ,F
Cutter Gauthier,gauthcu01,Anaheim Ducks,ANA,F
Julien Gauthier,gauthju01,New York Islanders,NYI,F
Vladislav Gavrikov,gavrivl01,Los Angeles Kings,LAK,D
Glenn Gawdin,gawdigl01,Anaheim Ducks,ANA,F
Conor Geekie,geekico01,Tampa Bay Lightning,TBL,F
Morgan Geekie,geekimo01,Boston Bruins,BOS,F
Alexandar Georgiev,georgal01,Colorado Avalanche,COL,G
Isaiah George,georgis01,New York Islanders,NYI,D
Brandon Gignac,gignabr01,Montreal Canadiens,MTL,F
Dennis Gilbert,gilbede01,Buffalo Sabres,BUF,D
Patrick Giles,gilespa01,Florida Panthers,FLA,F
Adam Ginning,ginniad01,Philadelphia Flyers,PHI,D
Mark Giordano,giordma01,Toronto Maple Leafs,TOR,D
Samuel Girard,girarsa01,Colorado Avalanche,COL,D
Zemgus Girgensons,girgeze01,Tampa Bay Lightning,TBL,F
Claude Giroux,giroucl01,Ottawa Senators,OTT,F
Cody Glass,glassco01,Pittsburgh Penguins,PIT,F
Luke Glendening,glendlu01,Tampa Bay Lightning,TBL,F
Alex Goligoski,goligal01,Minnesota Wild,MIN,D
Gage Goncalves,goncaga01,Tampa Bay Lightning,TBL,F
Barclay Goodrow,goodrba01,San Jose Sharks,SJS,F
Shayne Gostisbehere,gostish01,Carolina Hurricanes,CAR,D
Yanni Gourde,gourdya01,Seattle Kraken,SEA,F
Collin Graf,grafco01,San Jose Sharks,SJS,F
Mikael Granlund,granlmi01,San Jose Sharks,SJS,F
Ryan Graves,gravery01,Pittsburgh Penguins,PIT,D
Jordan Greenway,greenjo02,Buffalo Sabres,BUF,F
A.J. Greer,greeraj01,Florida Panthers,FLA,F
Noah Gregor,gregono01,Ottawa Senators,OTT,F
Ridly Greig,greigri01,Ottawa Senators,OTT,F
Philipp Grubauer,grubaph01,Seattle Kraken,SEA,G
Jonathan Gruden,grudejo02,Pittsburgh Penguins,PIT,F
Carl Grundstrom,grundca01,San Jose Sharks,SJS,F
Matt Grzelcyk,grzelma01,Pittsburgh Penguins,PIT,D
Radko Gudas,gudasra01,Anaheim Ducks,ANA,D
Erik Gudbranson,gudbrer01,Columbus Blue Jackets,CBJ,D
Maxence Guenette,guenema01,Ottawa Senators,OTT,D
Dylan Guenther,guentdy01,Arizona Coyotes,ARI,F
Jake Guentzel,guentja01,Tampa Bay Lightning,TBL,F
Kaiden Guhle,guhleka01,Montreal Canadiens,MTL,D
Daniil Gushchin,gushcda01,San Jose Sharks,SJS,F
David Gustafsson,gustada01,Winnipeg Jets,WPG,F
Erik Gustafsson,gustaer02,Detroit Red Wings,DET,D
Filip Gustavsson,gustafi01,Minnesota Wild,MIN,G
Cole Guttman,guttmco01,Chicago Blackhawks,CHI,F
Brandon Hagel,hagelbr01,Tampa Bay Lightning,TBL,F
Nicolas Hague,hagueni01,Vegas Golden Knights,VEG,D
Jani Hakanpaa,hakanja01,Dallas Stars,DAL,D
Taylor Hall,hallta02,Chicago Blackhawks,CHI,F
Brian Halonen,halonbr01,New Jersey Devils,NJD,F
Hardy Haman Aktell,hamanha01,Washington Capitals,WSH,D
James Hamblin,hamblja01,Edmonton Oilers,EDM,F
Dougie Hamilton,hamildo01,New Jersey Devils,NJD,D
Travis Hamonic,hamontr01,Ottawa Senators,OTT,D
Noah Hanifin,hanifno01,Vegas Golden Knights,VEG,D
Joel Hanley,hanlejo01,Calgary Flames,CGY,D
Jansen Harkins,harkija01,Anaheim Ducks,ANA,F
Thomas Harley,harleth01,Dallas Stars,DAL,D
Jordan Harris,harrijo01,Columbus Blue Jackets,CBJ,D
Ryan Hartman,hartmry01,Minnesota Wild,MIN,F
Rafael Harvey-Pinard,harvera01,Montreal Canadiens,MTL,F
Santeri Hatakka,hataksa01,New Jersey Devils,NJD,D
Garnet Hathaway,hathaga01,Philadelphia Flyers,PHI,F
Erik Haula,haulaer01,New Jersey Devils,NJD,F
John Hayden,haydejo01,Seattle Kraken,SEA,F
Kevin Hayes,hayeske01,Pittsburgh Penguins,PIT,F
Barrett Hayton,haytoba01,Arizona Coyotes,ARI,F
Victor Hedman,hedmavi01,Tampa Bay Lightning,TBL,D
Danton Heinen,heineda01,Vancouver Canucks,VAN,F
Emil Heineman,heineem01,Montreal Canadiens,MTL,F
Miro Heiskanen,heiskmi01,Dallas Stars,DAL,D
Connor Hellebuyck,helleco01,Winnipeg Jets,WPG,G
Adam Henrique,henriad01,Edmonton Oilers,EDM,F
