GameID,Game,PlayerID,Player,Team,Is_Home,Opp,Stat,Line,Type,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,rossima01,Marco Rossi,MIN,0,CHI,PTS,0.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,fowleca01,Cam Fowler,ANA,1,CBJ,TOI,22,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,killoal01,Alex Killorn,ANA,1,CBJ,TOI,18,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,werenza01,Zach Werenski,CBJ,0,ANA,TOI,25,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,monahse01,Sean Monahan,CBJ,0,ANA,TOI,18.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,pescebr01,Brett Pesce,NJD,1,SJS,TOI,21.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hugheja03,Jack Hughes,NJD,1,SJS,TOI,20.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,walmaja01,Jake Walman,SJS,0,NJD,TOI,21.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,eklunwi01,William Eklund,SJS,0,NJD,TOI,19.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,jonesse01,Seth Jones,CHI,1,MIN,TOI,25.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,bedarco01,Connor Bedard,CHI,1,MIN,TOI,19.75,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,faberbr01,Brock Faber,MIN,0,CHI,TOI,24.5,Norm.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,kapriki01,Kirill Kaprizov,MIN,0,CHI,TOI,21.5,Norm.,,,,,,,,,,,,,,,,,
