Season,Player,PlayerID,TeamID,Position,GP,G,A,PTS,SOG,S%,HIT,BLK,TOI,SAtt,PIM,EVG,PPG,SHG,EVA,PPA,SHA,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP,SAtt_GP,PIM_GP
2024-25,Lucas Condotta,condolu01,MTL,F,7,1,0,1,5,0.2,10,3,57.41666667,51,0,1,0,0,0,0,0,0.142857143,0,0.142857143,0.714285714,1.428571429,0.428571429,8.202380952,7.285714286,0
2024-25,Anthony Richard,richaan01,PHI,F,7,2,4,6,10,0.2,4,7,83.4,69,0,2,0,0,3,1,0,0.285714286,0.571428571,0.857142857,1.428571429,0.571428571,1,11.91428571,9.857142857,0
2024-25,Jonas Rondbjerg,rondbjo01,VEG,F,2,0,0,0,0,0,2,1,15.08333333,22,0,0,0,0,0,0,0,0,0,0,0,1,0.5,7.541666667,11,0
2024-25,Samuel Helenius,helensa02,LAK,F,6,0,2,2,4,0,20,4,55.9,41,7,0,0,0,2,0,0,0,0.333333333,0.333333333,0.666666667,3.333333333,0.666666667,9.316666667,6.833333333,1.166666667
2024-25,Tyson Jost,jostty01,CAR,F,7,1,0,1,8,0.125,7,1,65.38333333,73,0,1,0,0,0,0,0,0.142857143,0,0.142857143,1.142857143,1,0.142857143,9.34047619,10.42857143,0
2024-25,Connor Dewar,dewarco01,TOR,F,5,0,0,0,5,0,13,4,54.98333333,43,0,0,0,0,0,0,0,0,0,0,1,2.6,0.8,10.99666667,8.6,0
2024-25,Jonathan Lekkerimaki,lekkejo01,VAN,F,5,1,0,1,7,0.142857143,4,2,74,78,2,1,0,0,0,0,0,0.2,0,0.2,1.4,0.8,0.4,14.8,15.6,0.4
2024-25,Grigori Denisenko,denisgr01,VEG,F,1,0,0,0,0,0,5,0,8.45,7,2,0,0,0,0,0,0,0,0,0,0,5,0,8.45,7,2
2024-25,Sam Poulin,poulisa01,PIT,F,6,0,1,1,2,0,8,0,60.58333333,76,2,0,0,0,1,0,0,0,0.166666667,0.166666667,0.333333333,1.333333333,0,10.09722222,12.66666667,0.333333333
2024-25,Jani Hakanpaa,hakanja01,TOR,D,2,0,0,0,2,0,1,4,28.16666667,21,0,0,0,0,0,0,0,0,0,0,1,0.5,2,14.08333333,10.5,0
2024-25,Alex Steeves,steeval02,TOR,F,3,0,0,0,5,0,10,0,33.95,28,0,0,0,0,0,0,0,0,0,0,1.666666667,3.333333333,0,11.31666667,9.333333333,0
2024-25,Patrick Brown,brownpa02,BOS,F,1,0,0,0,2,0,4,2,12.7,6,0,0,0,0,0,0,0,0,0,0,2,4,2,12.7,6,0
2024-25,Jordan Oesterle,oestejo01,BOS,D,3,0,0,0,2,0,3,3,51.25,46,0,0,0,0,0,0,0,0,0,0,0.666666667,1,1,17.08333333,15.33333333,0
2024-25,Dakota Joshua,joshuda01,VAN,F,5,0,1,1,2,0,17,3,63.83333333,46,9,0,0,0,1,0,0,0,0.2,0.2,0.4,3.4,0.6,12.76666667,9.2,1.8
2024-25,Drew Helleson,helledr01,ANA,D,4,1,2,3,3,0.333333333,0,6,63.31666667,59,4,1,0,0,2,0,0,0.25,0.5,0.75,0.75,0,1.5,15.82916667,14.75,1
2024-25,Matt Nieto,nietoma01,PIT,F,5,0,0,0,7,0,4,4,66.66666667,31,0,0,0,0,0,0,0,0,0,0,1.4,0.8,0.8,13.33333333,6.2,0
2024-25,Valeri Nichushkin,nichuva01,COL,F,4,1,2,3,6,0.166666667,2,3,73.25,72,0,1,0,0,2,0,0,0.25,0.5,0.75,1.5,0.5,0.75,18.3125,18,0
